borrower_id,income,dti,credit_score,sector,region,ead,lgd,pd,default_flag,recovery,collateral_value,collateral_type,product_type,loan_start_date,loan_vintage,interest_rate,gdp_growth,unemployment,arrears_30d,arrears_60d,arrears_90d
46,52651.77,0.105,678,Consumer,East,468022,0.18,0.022,0,468022,854796,Property,Term Loan,2025-12-26,0 yrs,8.0,5.2,7.2,0,0,0
47,54146.58,0.208,673,Corporate,South,899193,0.39,0.007,0,899193,486628,Plant/Equipment,Home Loan,2021-06-17,4 yrs,8.0,5.2,7.2,0,0,0
48,77859.36,0.651,630,Corporate,West,192057,0.43,0.064,0,192057,118993,Property,Home Loan,2022-12-23,3 yrs,8.0,5.2,7.2,0,0,0
49,85384.51,0.261,673,SME,East,715634,0.26,0.065,1,513002,381429,Unsecured,Credit Card,2019-12-19,6 yrs,8.0,5.2,7.2,0,0,0
50,32405.05,0.429,698,Corporate,North,61766,0.47,0.06,0,61766,90680,Plant/Equipment,Term Loan,2021-11-14,4 yrs,8.0,5.2,7.2,1,0,1
51,71579.41,0.284,674,Consumer,West,342316,0.15,0.061,0,342316,212723,Plant/Equipment,Personal Loan,2018-12-08,7 yrs,8.0,5.2,7.2,0,0,0
52,40302.65,0.777,632,SME,South,766796,0.43,0.076,0,766796,938321,Unsecured,Home Loan,2024-04-25,1 yrs,8.0,5.2,7.2,0,0,0
53,139350.13,0.54,669,Consumer,East,164154,0.54,0.053,0,164154,262800,Plant/Equipment,Business Loan,2021-01-25,4 yrs,8.0,5.2,7.2,0,0,0
54,60759.42,0.351,679,Consumer,South,56730,0.49,0.019,0,56730,91516,Plant/Equipment,Personal Loan,2021-07-02,4 yrs,8.0,5.2,7.2,0,0,0
55,125913.9,0.719,612,SME,North,161816,0.31,0.054,0,161816,79130,Property,Home Loan,2023-04-22,2 yrs,8.0,5.2,7.2,0,0,0
56,83122.46,0.217,663,Corporate,East,374780,0.33,0.079,0,374780,0,Unsecured,Personal Loan,2023-06-06,2 yrs,8.0,5.2,7.2,1,0,0
57,86645.62,0.358,679,Consumer,West,674830,0.54,0.016,0,674830,1172410,Property,Personal Loan,2018-10-15,7 yrs,8.0,5.2,7.2,0,0,0
58,114515.51,0.474,625,Mortgage,North,563525,0.49,0.051,0,563525,761946,Inventory,Home Loan,2021-09-14,4 yrs,8.0,5.2,7.2,0,0,0
59,137876.12,0.671,630,Consumer,North,83231,0.26,0.027,0,83231,38703,Unsecured,Credit Card,2022-11-13,3 yrs,8.0,5.2,7.2,0,1,0
60,86845.56,0.421,732,Consumer,South,330337,0.2,0.023,0,330337,385385,Plant/Equipment,Credit Card,2025-09-30,0 yrs,8.0,5.2,7.2,0,0,0
61,60116.52,0.572,647,Mortgage,North,970514,0.52,0.072,0,970514,1053403,Unsecured,Personal Loan,2019-01-16,6 yrs,8.0,5.2,7.2,0,0,0
62,114126.93,0.651,639,Corporate,South,952204,0.32,0.044,0,952204,681674,Property,Personal Loan,2017-08-05,8 yrs,8.0,5.2,7.2,0,0,0
63,53644.53,0.31,678,Corporate,East,752660,0.41,0.025,0,752660,1005980,Plant/Equipment,Credit Card,2021-11-19,4 yrs,8.0,5.2,7.2,0,1,0
64,30223.78,0.71,635,Consumer,East,952632,0.17,0.03,0,952632,1362022,Unsecured,Term Loan,2022-10-01,3 yrs,8.0,5.2,7.2,0,0,0
65,124753.12,0.622,658,SME,West,353053,0.49,0.022,0,353053,0,Unsecured,Personal Loan,2018-10-23,7 yrs,8.0,5.2,7.2,0,0,0
66,138942.14,0.56,645,SME,North,731739,0.46,0.044,0,731739,1012854,Plant/Equipment,Credit Card,2021-11-15,4 yrs,8.0,5.2,7.2,1,0,0
67,61271.7,0.768,643,Consumer,North,307348,0.36,0.007,0,307348,0,Unsecured,Personal Loan,2018-01-12,7 yrs,8.0,5.2,7.2,0,0,0
68,100480.24,0.675,634,Consumer,West,840095,0.47,0.019,0,840095,1553693,Plant/Equipment,Home Loan,2017-03-03,8 yrs,8.0,5.2,7.2,0,0,0
69,71107.72,0.736,666,Corporate,East,635613,0.37,0.079,0,635613,1259609,Property,Term Loan,2019-05-21,6 yrs,8.0,5.2,7.2,0,0,0
70,104886.07,0.214,648,SME,East,937025,0.58,0.018,0,937025,1429683,Plant/Equipment,Home Loan,2023-01-24,2 yrs,8.0,5.2,7.2,0,0,0
71,134882.59,0.531,617,Corporate,North,329816,0.18,0.04,0,329816,0,Unsecured,Term Loan,2020-06-23,5 yrs,8.0,5.2,7.2,0,0,0
72,132478.36,0.718,632,Corporate,North,335966,0.59,0.005,0,335966,0,Unsecured,Home Loan,2022-07-28,3 yrs,8.0,5.2,7.2,0,0,0
73,77357.21,0.731,667,Corporate,North,516284,0.58,0.031,0,516284,351040,Unsecured,Home Loan,2021-04-25,4 yrs,8.0,5.2,7.2,0,0,0
74,134204.07,0.785,647,Corporate,East,577677,0.23,0.066,0,577677,860090,Unsecured,Credit Card,2022-08-19,3 yrs,8.0,5.2,7.2,0,0,0
75,126734.29,0.603,667,Corporate,West,494898,0.53,0.055,0,494898,814085,Plant/Equipment,Business Loan,2019-09-11,6 yrs,8.0,5.2,7.2,1,0,0
76,64154.91,0.671,657,Corporate,East,291942,0.2,0.038,0,291942,0,Unsecured,Personal Loan,2017-11-19,8 yrs,8.0,5.2,7.2,0,0,0
77,60372.73,0.103,621,Mortgage,North,882680,0.56,0.016,0,882680,916023,Plant/Equipment,Term Loan,2021-12-27,4 yrs,8.0,5.2,7.2,0,0,0
78,69648.26,0.408,666,SME,East,85733,0.23,0.006,0,85733,160623,Plant/Equipment,Term Loan,2019-08-23,6 yrs,8.0,5.2,7.2,0,0,0
79,143117.46,0.531,678,Consumer,West,887229,0.25,0.048,0,887229,437043,Plant/Equipment,Business Loan,2024-12-29,1 yrs,8.0,5.2,7.2,0,0,0
80,110051.39,0.774,657,Corporate,North,516813,0.5,0.071,0,516813,0,Unsecured,Personal Loan,2024-09-18,1 yrs,8.0,5.2,7.2,0,0,0
81,112959.01,0.425,613,Mortgage,North,636284,0.59,0.064,0,636284,547813,Inventory,Business Loan,2022-10-14,3 yrs,8.0,5.2,7.2,1,0,0
82,63679.33,0.556,678,Corporate,East,569878,0.45,0.028,0,569878,275004,Unsecured,Term Loan,2022-11-21,3 yrs,8.0,5.2,7.2,0,0,0
83,77832.53,0.434,653,Mortgage,East,599149,0.4,0.031,0,599149,632458,Property,Business Loan,2017-06-28,8 yrs,8.0,5.2,7.2,0,0,0
84,71308.88,0.519,662,SME,North,837122,0.27,0.043,0,837122,0,Unsecured,Credit Card,2024-06-29,1 yrs,8.0,5.2,7.2,0,0,0
85,43571.9,0.481,631,Mortgage,North,791445,0.17,0.069,0,791445,748637,Property,Home Loan,2025-01-06,0 yrs,8.0,5.2,7.2,0,0,0
86,106171.18,0.693,637,Consumer,East,260321,0.24,0.009,0,260321,0,Unsecured,Term Loan,2023-07-13,2 yrs,8.0,5.2,7.2,0,0,0
87,141387.17,0.117,647,Consumer,North,68091,0.52,0.068,0,68091,0,Unsecured,Personal Loan,2022-11-28,3 yrs,8.0,5.2,7.2,1,0,0
88,147439.62,0.646,626,Consumer,South,428157,0.3,0.01,0,428157,0,Unsecured,Home Loan,2019-05-03,6 yrs,8.0,5.2,7.2,0,0,0
89,149254.54,0.162,632,SME,West,69939,0.38,0.016,0,69939,68512,Property,Term Loan,2018-04-03,7 yrs,8.0,5.2,7.2,0,0,0
90,124933.8,0.101,700,SME,East,769979,0.54,0.072,0,769979,0,Unsecured,Personal Loan,2021-01-14,4 yrs,8.0,5.2,7.2,0,0,0
91,88249.42,0.517,649,Mortgage,West,541605,0.29,0.012,0,541605,811836,Plant/Equipment,Home Loan,2020-06-11,5 yrs,8.0,5.2,7.2,0,0,0
92,111083.62,0.167,667,Consumer,West,534778,0.44,0.079,0,534778,0,Unsecured,Home Loan,2020-04-03,5 yrs,8.0,5.2,7.2,0,0,0
93,137673.32,0.31,628,SME,North,337997,0.26,0.049,0,337997,0,Unsecured,Term Loan,2018-08-02,7 yrs,8.0,5.2,7.2,0,0,0
94,58889.4,0.286,658,Corporate,North,250219,0.53,0.032,0,250219,394587,Unsecured,Term Loan,2018-04-13,7 yrs,8.0,5.2,7.2,0,0,0
95,97958.15,0.13,653,Mortgage,North,992487,0.26,0.077,0,992487,0,Unsecured,Credit Card,2022-11-30,3 yrs,8.0,5.2,7.2,1,0,0
96,79662.13,0.52,665,Mortgage,West,581134,0.48,0.006,0,581134,893735,Unsecured,Business Loan,2017-06-21,8 yrs,8.0,5.2,7.2,0,0,0
97,145804.75,0.379,667,Corporate,South,421321,0.15,0.06,0,421321,773062,Plant/Equipment,Home Loan,2022-10-29,3 yrs,8.0,5.2,7.2,0,0,0
98,122052.12,0.301,616,Consumer,West,365211,0.2,0.03,0,365211,277319,Unsecured,Home Loan,2023-11-29,2 yrs,8.0,5.2,7.2,0,0,0
99,37076.32,0.319,648,Mortgage,North,766460,0.18,0.061,0,766460,409162,Property,Personal Loan,2021-08-23,4 yrs,8.0,5.2,7.2,0,0,0
100,137669.13,0.463,658,SME,South,261063,0.22,0.019,1,122074,419075,Plant/Equipment,Term Loan,2020-10-08,5 yrs,8.0,5.2,7.2,0,0,1
101,51098.99,0.797,691,Consumer,North,265035,0.55,0.064,0,265035,0,Unsecured,Term Loan,2019-05-17,6 yrs,8.0,5.2,7.2,0,0,0
102,146215.72,0.69,675,SME,West,891079,0.31,0.009,0,891079,0,Unsecured,Personal Loan,2025-04-05,0 yrs,8.0,5.2,7.2,0,0,0
103,81256.85,0.518,603,Corporate,East,539447,0.16,0.009,0,539447,678650,Inventory,Personal Loan,2020-04-26,5 yrs,8.0,5.2,7.2,0,0,0
104,139990.17,0.215,616,Consumer,West,805999,0.33,0.062,0,805999,1032841,Plant/Equipment,Home Loan,2018-08-08,7 yrs,8.0,5.2,7.2,0,0,0
105,52827.5,0.397,620,Consumer,East,799930,0.2,0.024,0,799930,1131635,Plant/Equipment,Business Loan,2018-12-24,7 yrs,8.0,5.2,7.2,0,0,0
106,117223.34,0.232,685,SME,West,978622,0.31,0.029,0,978622,1050432,Unsecured,Home Loan,2019-01-31,6 yrs,8.0,5.2,7.2,0,0,0
107,74955.83,0.474,663,SME,West,118788,0.53,0.023,0,118788,211800,Inventory,Personal Loan,2017-04-03,8 yrs,8.0,5.2,7.2,0,0,0
108,146296.53,0.566,639,Consumer,West,468440,0.22,0.049,0,468440,0,Unsecured,Personal Loan,2017-05-02,8 yrs,8.0,5.2,7.2,0,0,0
109,71645.57,0.577,623,Consumer,East,287029,0.41,0.041,0,287029,195599,Plant/Equipment,Term Loan,2023-11-05,2 yrs,8.0,5.2,7.2,0,0,0
110,56511.94,0.522,609,SME,East,260316,0.38,0.014,0,260316,171054,Plant/Equipment,Credit Card,2018-08-26,7 yrs,8.0,5.2,7.2,0,0,0
111,137200.66,0.142,614,Corporate,North,618319,0.29,0.037,0,618319,1064412,Property,Term Loan,2025-02-09,0 yrs,8.0,5.2,7.2,0,0,0
112,135494.32,0.389,704,Corporate,South,489562,0.44,0.01,0,489562,840764,Property,Personal Loan,2025-06-25,0 yrs,8.0,5.2,7.2,0,0,0
113,79859.65,0.228,631,Corporate,South,422103,0.5,0.019,0,422103,295478,Plant/Equipment,Home Loan,2018-06-03,7 yrs,8.0,5.2,7.2,0,0,0
114,140508.38,0.676,637,Mortgage,West,727666,0.56,0.024,0,727666,1371332,Plant/Equipment,Business Loan,2025-05-07,0 yrs,8.0,5.2,7.2,0,0,0
115,66358.49,0.362,681,Corporate,South,463501,0.28,0.049,0,463501,898248,Property,Credit Card,2020-06-21,5 yrs,8.0,5.2,7.2,0,0,0
116,135035.43,0.338,678,Corporate,West,79442,0.51,0.06,0,79442,115125,Property,Personal Loan,2025-10-01,0 yrs,8.0,5.2,7.2,0,0,0
117,62730.21,0.57,658,SME,East,968071,0.22,0.039,0,968071,894485,Unsecured,Home Loan,2022-01-19,3 yrs,8.0,5.2,7.2,0,0,0
118,32171.0,0.41,640,Consumer,South,869145,0.4,0.007,0,869145,722793,Property,Home Loan,2024-09-20,1 yrs,8.0,5.2,7.2,0,0,0
119,53152.82,0.363,662,Consumer,East,303311,0.2,0.013,0,303311,173800,Plant/Equipment,Home Loan,2024-02-18,1 yrs,8.0,5.2,7.2,0,0,0
120,115708.69,0.107,671,Mortgage,South,48625,0.25,0.051,0,48625,0,Unsecured,Term Loan,2020-06-22,5 yrs,8.0,5.2,7.2,0,0,0
121,46077.72,0.464,689,SME,East,281467,0.45,0.037,0,281467,553462,Inventory,Personal Loan,2025-01-13,0 yrs,8.0,5.2,7.2,0,0,0
122,32133.57,0.661,634,Corporate,West,390595,0.47,0.067,0,390595,134224,Plant/Equipment,Credit Card,2018-09-25,7 yrs,8.0,5.2,7.2,0,0,0
123,54957.11,0.696,690,Mortgage,South,441820,0.6,0.035,0,441820,472099,Unsecured,Personal Loan,2021-08-14,4 yrs,8.0,5.2,7.2,0,0,0
124,69895.64,0.593,648,SME,East,973946,0.22,0.009,0,973946,0,Unsecured,Term Loan,2017-07-19,8 yrs,8.0,5.2,7.2,0,0,0
125,149198.16,0.115,671,SME,North,638002,0.56,0.027,0,638002,488443,Inventory,Credit Card,2019-04-26,6 yrs,8.0,5.2,7.2,0,0,0
126,121993.06,0.433,673,SME,North,568436,0.22,0.036,0,568436,470682,Property,Business Loan,2021-02-26,4 yrs,8.0,5.2,7.2,0,0,0
127,114878.28,0.773,610,Mortgage,South,770536,0.16,0.058,0,770536,598209,Plant/Equipment,Credit Card,2019-12-28,6 yrs,8.0,5.2,7.2,0,0,0
128,94302.62,0.358,698,Mortgage,West,980767,0.45,0.019,0,980767,1511601,Inventory,Credit Card,2018-06-16,7 yrs,8.0,5.2,7.2,0,0,0
129,95689.79,0.257,647,Corporate,North,627731,0.41,0.023,0,627731,669967,Plant/Equipment,Home Loan,2019-01-01,6 yrs,8.0,5.2,7.2,0,0,0
130,104552.62,0.546,621,Mortgage,East,776083,0.44,0.067,0,776083,290373,Unsecured,Credit Card,2022-06-30,3 yrs,8.0,5.2,7.2,0,0,0
131,71052.52,0.489,584,Consumer,North,660572,0.43,0.063,0,660572,825053,Unsecured,Home Loan,2019-02-11,6 yrs,8.0,5.2,7.2,1,0,0
132,124974.08,0.121,602,SME,North,133059,0.58,0.035,0,133059,0,Unsecured,Personal Loan,2022-12-29,3 yrs,8.0,5.2,7.2,0,0,0
133,139619.56,0.768,694,Consumer,West,127207,0.47,0.025,0,127207,126634,Unsecured,Term Loan,2023-08-26,2 yrs,8.0,5.2,7.2,0,0,0
134,53393.65,0.485,598,Corporate,South,437085,0.56,0.012,0,437085,868348,Inventory,Term Loan,2025-09-15,0 yrs,8.0,5.2,7.2,0,0,0
135,30635.93,0.438,669,SME,South,313345,0.58,0.044,0,313345,157096,Property,Business Loan,2018-07-03,7 yrs,8.0,5.2,7.2,0,0,0
136,125626.09,0.293,606,Corporate,North,864770,0.23,0.036,0,864770,1145264,Unsecured,Credit Card,2025-02-19,0 yrs,8.0,5.2,7.2,0,0,0
137,73707.07,0.327,634,Mortgage,West,26437,0.25,0.025,0,26437,34773,Inventory,Term Loan,2017-08-14,8 yrs,8.0,5.2,7.2,0,0,0
138,36895.88,0.492,612,Mortgage,West,447274,0.6,0.025,0,447274,0,Unsecured,Business Loan,2017-10-09,8 yrs,8.0,5.2,7.2,0,0,0
139,133254.73,0.686,624,Mortgage,South,278073,0.36,0.063,0,278073,0,Unsecured,Credit Card,2022-06-15,3 yrs,8.0,5.2,7.2,0,0,0
140,84019.08,0.648,665,Corporate,South,242646,0.25,0.057,1,155476,453761,Inventory,Home Loan,2019-11-19,6 yrs,8.0,5.2,7.2,0,0,0
141,75879.71,0.432,684,Mortgage,South,200878,0.25,0.079,0,200878,0,Unsecured,Credit Card,2022-11-04,3 yrs,8.0,5.2,7.2,0,0,0
142,69256.39,0.111,697,Mortgage,West,205626,0.23,0.057,0,205626,0,Unsecured,Home Loan,2024-12-12,1 yrs,8.0,5.2,7.2,0,0,0
143,101990.48,0.618,693,Corporate,North,887465,0.42,0.068,0,887465,1383886,Inventory,Business Loan,2017-02-19,8 yrs,8.0,5.2,7.2,0,1,0
144,68185.29,0.792,625,SME,West,667975,0.47,0.047,0,667975,1251479,Inventory,Term Loan,2017-01-12,8 yrs,8.0,5.2,7.2,1,0,0
145,58151.56,0.707,656,SME,West,566261,0.16,0.045,0,566261,558418,Inventory,Personal Loan,2022-06-12,3 yrs,8.0,5.2,7.2,0,0,0
146,95899.45,0.185,643,Consumer,South,145309,0.49,0.018,0,145309,213037,Unsecured,Personal Loan,2018-10-12,7 yrs,8.0,5.2,7.2,0,0,0
147,89161.51,0.221,653,Corporate,North,932111,0.21,0.028,0,932111,452325,Plant/Equipment,Home Loan,2025-10-31,0 yrs,8.0,5.2,7.2,0,0,0
148,78245.07,0.423,623,Consumer,West,795507,0.34,0.015,0,795507,0,Unsecured,Personal Loan,2020-06-15,5 yrs,8.0,5.2,7.2,0,0,0
149,36133.54,0.682,625,SME,North,919352,0.53,0.065,0,919352,1664077,Inventory,Business Loan,2018-11-24,7 yrs,8.0,5.2,7.2,0,0,0
150,94101.13,0.553,581,Mortgage,South,720209,0.48,0.062,0,720209,1053968,Plant/Equipment,Term Loan,2021-10-26,4 yrs,8.0,5.2,7.2,1,0,0
151,122061.27,0.127,610,Mortgage,West,641494,0.32,0.074,0,641494,0,Unsecured,Credit Card,2024-07-31,1 yrs,8.0,5.2,7.2,0,0,0
152,37355.41,0.423,653,SME,West,291607,0.44,0.032,0,291607,556914,Property,Home Loan,2020-12-22,5 yrs,8.0,5.2,7.2,0,0,0
153,65833.35,0.58,652,Mortgage,North,752917,0.57,0.047,0,752917,637541,Plant/Equipment,Home Loan,2025-12-13,0 yrs,8.0,5.2,7.2,0,0,0
154,67246.82,0.384,695,SME,East,658336,0.55,0.071,0,658336,302437,Property,Credit Card,2021-01-21,4 yrs,8.0,5.2,7.2,0,1,0
155,141916.22,0.37,653,Consumer,West,877362,0.51,0.049,0,877362,1247365,Inventory,Term Loan,2025-07-02,0 yrs,8.0,5.2,7.2,0,0,0
156,70121.54,0.617,613,Corporate,West,756620,0.54,0.033,0,756620,885441,Plant/Equipment,Term Loan,2020-09-26,5 yrs,8.0,5.2,7.2,0,0,0
157,141581.08,0.662,655,Mortgage,West,804863,0.26,0.026,0,804863,0,Unsecured,Business Loan,2017-02-08,8 yrs,8.0,5.2,7.2,0,0,0
158,38078.61,0.6,647,Consumer,East,563190,0.5,0.01,0,563190,996844,Inventory,Personal Loan,2017-12-05,8 yrs,8.0,5.2,7.2,0,0,0
159,133016.62,0.154,622,Consumer,West,425763,0.26,0.057,0,425763,631350,Inventory,Credit Card,2021-09-27,4 yrs,8.0,5.2,7.2,0,0,0
160,85918.61,0.173,654,Corporate,North,11673,0.16,0.064,0,11673,22365,Property,Personal Loan,2020-06-12,5 yrs,8.0,5.2,7.2,0,0,0
161,120062.8,0.609,646,Corporate,South,878972,0.5,0.042,0,878972,0,Unsecured,Home Loan,2019-07-02,6 yrs,8.0,5.2,7.2,0,0,0
162,129780.2,0.124,686,Consumer,North,37400,0.46,0.076,0,37400,0,Unsecured,Business Loan,2018-01-21,7 yrs,8.0,5.2,7.2,0,0,0
163,87750.47,0.277,679,Mortgage,South,418446,0.37,0.027,0,418446,0,Unsecured,Term Loan,2020-02-16,5 yrs,8.0,5.2,7.2,0,0,0
164,41905.29,0.243,656,Consumer,North,924603,0.16,0.039,0,924603,0,Unsecured,Personal Loan,2018-09-03,7 yrs,8.0,5.2,7.2,0,0,0
165,66870.87,0.371,598,Consumer,North,750567,0.42,0.033,0,750567,1027774,Property,Home Loan,2018-04-13,7 yrs,8.0,5.2,7.2,0,0,0
166,69449.73,0.597,689,Corporate,West,621525,0.26,0.075,0,621525,531142,Unsecured,Business Loan,2024-05-16,1 yrs,8.0,5.2,7.2,0,0,0
167,127018.97,0.293,633,Consumer,South,662728,0.41,0.064,1,383412,812409,Unsecured,Home Loan,2018-02-11,7 yrs,8.0,5.2,7.2,1,0,0
168,97983.86,0.779,641,Corporate,South,427164,0.57,0.013,0,427164,737156,Plant/Equipment,Personal Loan,2017-10-16,8 yrs,8.0,5.2,7.2,0,0,0
